,Name,Address,Metro,Rating,Money,lat,lng,District
190,Северяне,"Б.Никитская, 12",Арбатская,8.3,3.0,55.756513,37.60646,Пресненский
191,Beer Harbor,"Покровка, 21–23/25, стр. 1","Чистые пруды, Курская, Тургеневская, Китай-город, Сретенский бульвар, Чкаловская",,2.0,55.759689,37.64719,Басманный
192,Beer Loft,"Мневники, 23","Полежаевская, Хорошево",,2.0,55.774087,37.47819,Хорошёво-Мнёвники
193,Трын-трава,"Молодогвардейская, 28, корп. 1",Молодежная,8.3,2.0,55.734248,37.418021,Кунцево
194,Beermood,"Чистопрудный б-р, 21","Чистые пруды, Тургеневская, Сретенский бульвар",,,55.760661,37.646381,Басманный
195,Beerness,"Серпуховский Вал, 3","Тульская, Верхние Котлы",,2.0,55.711067,37.618507,Даниловский
196,Beer Pub,"просп. Мира, 150, гостиница «Космос»",ВДНХ,,3.0,46.951946,142.741805,
197,Beertep Craft Pub,"Адмирала Макарова, 6, стр. 13","Водный стадион, Войковская",,1.0,55.83566,37.490497,Войковский
198,Beer Time,"Сущевская, 19, стр. 4",Менделеевская,,1.0,55.781848,37.600747,Тверской
199,Beery Beer,"Ивана Сусанина, 4, корп. 1","Речной вокзал, Бибирево, Владыкино",,1.0,55.867349,37.526277,Западное Дегунино
200,Bee's Knees Café,"Духовской пер., 17",Тульская,,1.0,55.704149,37.615857,Донской
201,Belagio,"Соколово-Мещерская, 25","Речной вокзал, Планерная",,3.0,55.902868,37.384585,Куркино
202,Belka,"Правды, 3/1",Белорусская,,,55.78401,37.576394,Беговой
203,Bella Napoli,"Медынская, 7а, стр. 1",Царицыно,,2.0,55.5867,37.64807,Бирюлёво Западное
204,Bella pasta,"Красная Пресня, 6/2, стр. 1","Краснопресненская, Баррикадная",,2.0,55.761365,37.574831,Пресненский
205,Bella pasta,"Солянка, 2/6",Китай-город,,2.0,55.753985,37.636671,Таганский
206,Bella vita,"Погонный пр., 3а","Бульвар Рокоссовского, Белокаменная",,2.0,55.820273,37.700649,Богородское
207,Bellissima,"Ольховская, 23, гостиница Mandarin","Красносельская, Бауманская",,3.0,,,
208,Bellucci,"Кутузовский просп., 48, галереи «Времена года»","Парк Победы, Славянский бульвар",,3.0,59.746573,29.703244,
209,Belochka,"Лесная, 1/2",Белорусская,,2.0,55.776872,37.585386,Тверской
